Rozmiar	Operacja	DynamicArray	LinkedList
10	Dodawanie na pocz¹tek	500	430
10	Dodawanie na koniec	300	470
10	Dodawanie na indeks 5	370	550
10	Usuwanie z indeksu 5	280	400
10	Usuwanie z pocz¹tku	260	380
10	Usuwanie z koñca	230	390
10	Wyszukiwanie elementu (istniej¹cego)	260	280
10	Wyszukiwanie elementu (nieistniej¹cego)	290	290
20	Dodawanie na pocz¹tek	290	420
20	Dodawanie na koniec	240	430
20	Dodawanie na indeks 10	270	420
20	Usuwanie z indeksu 10	250	450
20	Usuwanie z pocz¹tku	310	440
20	Usuwanie z koñca	270	420
20	Wyszukiwanie elementu (istniej¹cego)	260	280
20	Wyszukiwanie elementu (nieistniej¹cego)	300	300
50	Dodawanie na pocz¹tek	350	420
50	Dodawanie na koniec	260	550
50	Dodawanie na indeks 25	310	540
50	Usuwanie z indeksu 25	320	460
50	Usuwanie z pocz¹tku	410	400
50	Usuwanie z koñca	270	500
50	Wyszukiwanie elementu (istniej¹cego)	310	320
50	Wyszukiwanie elementu (nieistniej¹cego)	370	410
100	Dodawanie na pocz¹tek	520	420
100	Dodawanie na koniec	270	670
100	Dodawanie na indeks 50	370	520
100	Usuwanie z indeksu 50	360	560
100	Usuwanie z pocz¹tku	500	430
100	Usuwanie z koñca	250	630
100	Wyszukiwanie elementu (istniej¹cego)	350	400
100	Wyszukiwanie elementu (nieistniej¹cego)	430	520
200	Dodawanie na pocz¹tek	690	420
200	Dodawanie na koniec	260	920
200	Dodawanie na indeks 100	440	660
200	Usuwanie z indeksu 100	510	720
200	Usuwanie z pocz¹tku	690	430
200	Usuwanie z koñca	280	880
200	Wyszukiwanie elementu (istniej¹cego)	450	550
200	Wyszukiwanie elementu (nieistniej¹cego)	610	810
500	Dodawanie na pocz¹tek	1420	490
500	Dodawanie na koniec	310	2160
500	Dodawanie na indeks 250	790	1430
500	Usuwanie z indeksu 250	790	1350
500	Usuwanie z pocz¹tku	1360	550
500	Usuwanie z koñca	300	1840
500	Wyszukiwanie elementu (istniej¹cego)	750	1190
500	Wyszukiwanie elementu (nieistniej¹cego)	1110	2080
1000	Dodawanie na pocz¹tek	2490	560
1000	Dodawanie na koniec	540	5030
1000	Dodawanie na indeks 500	1290	3220
1000	Usuwanie z indeksu 500	1890	3540
1000	Usuwanie z pocz¹tku	2480	620
1000	Usuwanie z koñca	780	4510
1000	Wyszukiwanie elementu (istniej¹cego)	1220	2600
1000	Wyszukiwanie elementu (nieistniej¹cego)	2500	5400
2000	Dodawanie na pocz¹tek	5200	710
2000	Dodawanie na koniec	1080	10140
2000	Dodawanie na indeks 1000	3010	6180
2000	Usuwanie z indeksu 1000	3380	6600
2000	Usuwanie z pocz¹tku	6230	1820
2000	Usuwanie z koñca	1110	9420
2000	Wyszukiwanie elementu (istniej¹cego)	2920	5660
2000	Wyszukiwanie elementu (nieistniej¹cego)	4860	11110
3000	Dodawanie na pocz¹tek	8040	870
3000	Dodawanie na koniec	1150	15330
3000	Dodawanie na indeks 1500	4390	9250
3000	Usuwanie z indeksu 1500	5540	10650
3000	Usuwanie z pocz¹tku	9900	1730
3000	Usuwanie z koñca	1520	13570
3000	Wyszukiwanie elementu (istniej¹cego)	3800	8390
3000	Wyszukiwanie elementu (nieistniej¹cego)	6490	16370
4000	Dodawanie na pocz¹tek	9930	830
4000	Dodawanie na koniec	1630	23660
4000	Dodawanie na indeks 2000	5020	12430
4000	Usuwanie z indeksu 2000	5460	12470
4000	Usuwanie z pocz¹tku	10320	1570
4000	Usuwanie z koñca	1590	19660
4000	Wyszukiwanie elementu (istniej¹cego)	5140	12450
4000	Wyszukiwanie elementu (nieistniej¹cego)	9370	25370
5000	Dodawanie na pocz¹tek	11900	850
5000	Dodawanie na koniec	1820	30580
5000	Dodawanie na indeks 2500	6190	16430
5000	Usuwanie z indeksu 2500	7220	17500
5000	Usuwanie z pocz¹tku	11980	1440
5000	Usuwanie z koñca	1910	25320
5000	Wyszukiwanie elementu (istniej¹cego)	6310	16680
5000	Wyszukiwanie elementu (nieistniej¹cego)	10580	30120
7500	Dodawanie na pocz¹tek	17290	790
7500	Dodawanie na koniec	1390	44320
7500	Dodawanie na indeks 3750	8510	24480
7500	Usuwanie z indeksu 3750	8850	24200
7500	Usuwanie z pocz¹tku	16360	1600
7500	Usuwanie z koñca	1450	37630
7500	Wyszukiwanie elementu (istniej¹cego)	7620	23340
7500	Wyszukiwanie elementu (nieistniej¹cego)	13930	46320
10000	Dodawanie na pocz¹tek	22570	760
10000	Dodawanie na koniec	1380	58280
10000	Dodawanie na indeks 5000	12060	33150
10000	Usuwanie z indeksu 5000	13070	34880
10000	Usuwanie z pocz¹tku	22900	1790
10000	Usuwanie z koñca	1570	51490
10000	Wyszukiwanie elementu (istniej¹cego)	9730	31090
10000	Wyszukiwanie elementu (nieistniej¹cego)	17940	61300
