Rozmiar	Operacja	DynamicArray	LinkedList
10	Dodawanie na pocz¹tek	560	400
10	Dodawanie na koniec	240	460
10	Dodawanie na indeks 5	290	430
10	Usuwanie z indeksu 5	270	400
10	Usuwanie z pocz¹tku	300	390
10	Usuwanie z koñca	250	410
10	Wyszukiwanie elementu (istniej¹cego)	370	370
10	Wyszukiwanie elementu (nieistniej¹cego)	370	300
20	Dodawanie na pocz¹tek	290	410
20	Dodawanie na koniec	260	420
20	Dodawanie na indeks 10	300	440
20	Usuwanie z indeksu 10	280	440
20	Usuwanie z pocz¹tku	320	400
20	Usuwanie z koñca	240	420
20	Wyszukiwanie elementu (istniej¹cego)	270	290
20	Wyszukiwanie elementu (nieistniej¹cego)	280	330
50	Dodawanie na pocz¹tek	350	410
50	Dodawanie na koniec	300	590
50	Dodawanie na indeks 25	310	560
50	Usuwanie z indeksu 25	330	470
50	Usuwanie z pocz¹tku	400	440
50	Usuwanie z koñca	310	540
50	Wyszukiwanie elementu (istniej¹cego)	320	350
50	Wyszukiwanie elementu (nieistniej¹cego)	380	400
100	Dodawanie na pocz¹tek	540	410
100	Dodawanie na koniec	340	710
100	Dodawanie na indeks 50	410	520
100	Usuwanie z indeksu 50	380	590
100	Usuwanie z pocz¹tku	540	420
100	Usuwanie z koñca	260	650
100	Wyszukiwanie elementu (istniej¹cego)	370	410
100	Wyszukiwanie elementu (nieistniej¹cego)	450	550
200	Dodawanie na pocz¹tek	690	420
200	Dodawanie na koniec	260	930
200	Dodawanie na indeks 100	450	670
200	Usuwanie z indeksu 100	500	680
200	Usuwanie z pocz¹tku	700	410
200	Usuwanie z koñca	270	850
200	Wyszukiwanie elementu (istniej¹cego)	430	550
200	Wyszukiwanie elementu (nieistniej¹cego)	610	800
500	Dodawanie na pocz¹tek	1340	440
500	Dodawanie na koniec	320	2210
500	Dodawanie na indeks 250	840	1400
500	Usuwanie z indeksu 250	880	1520
500	Usuwanie z pocz¹tku	1290	490
500	Usuwanie z koñca	11590	3580
500	Wyszukiwanie elementu (istniej¹cego)	760	1200
500	Wyszukiwanie elementu (nieistniej¹cego)	1130	2150
1000	Dodawanie na pocz¹tek	2400	510
1000	Dodawanie na koniec	420	4830
1000	Dodawanie na indeks 500	2080	3850
1000	Usuwanie z indeksu 500	1360	2880
1000	Usuwanie z pocz¹tku	2330	520
1000	Usuwanie z koñca	350	4040
1000	Wyszukiwanie elementu (istniej¹cego)	1300	2600
1000	Wyszukiwanie elementu (nieistniej¹cego)	2430	5360
2000	Dodawanie na pocz¹tek	4890	710
2000	Dodawanie na koniec	1410	10610
2000	Dodawanie na indeks 1000	2960	6180
2000	Usuwanie z indeksu 1000	3120	6250
2000	Usuwanie z pocz¹tku	5810	1360
2000	Usuwanie z koñca	1370	10150
2000	Wyszukiwanie elementu (istniej¹cego)	3480	5980
2000	Wyszukiwanie elementu (nieistniej¹cego)	4830	11170
3000	Dodawanie na pocz¹tek	8440	1020
3000	Dodawanie na koniec	1620	16840
3000	Dodawanie na indeks 1500	4640	9650
3000	Usuwanie z indeksu 1500	4780	10140
3000	Usuwanie z pocz¹tku	7100	1290
3000	Usuwanie z koñca	1280	13380
3000	Wyszukiwanie elementu (istniej¹cego)	3780	8430
3000	Wyszukiwanie elementu (nieistniej¹cego)	6110	15940
4000	Dodawanie na pocz¹tek	9900	790
4000	Dodawanie na koniec	1540	22100
4000	Dodawanie na indeks 2000	5100	12550
4000	Usuwanie z indeksu 2000	5480	12690
4000	Usuwanie z pocz¹tku	11200	2100
4000	Usuwanie z koñca	1530	18680
4000	Wyszukiwanie elementu (istniej¹cego)	4970	12130
4000	Wyszukiwanie elementu (nieistniej¹cego)	8140	23380
5000	Dodawanie na pocz¹tek	11880	810
5000	Dodawanie na koniec	1470	28670
5000	Dodawanie na indeks 2500	7510	16160
5000	Usuwanie z indeksu 2500	7000	16690
5000	Usuwanie z pocz¹tku	12200	1570
5000	Usuwanie z koñca	1760	26150
5000	Wyszukiwanie elementu (istniej¹cego)	5820	15650
5000	Wyszukiwanie elementu (nieistniej¹cego)	10010	30310
7500	Dodawanie na pocz¹tek	17020	790
7500	Dodawanie na koniec	1470	43230
7500	Dodawanie na indeks 3750	8260	24100
7500	Usuwanie z indeksu 3750	9320	25730
7500	Usuwanie z pocz¹tku	18560	1810
7500	Usuwanie z koñca	1550	37870
7500	Wyszukiwanie elementu (istniej¹cego)	7750	23220
7500	Wyszukiwanie elementu (nieistniej¹cego)	14070	46160
10000	Dodawanie na pocz¹tek	22280	810
10000	Dodawanie na koniec	1490	59580
10000	Dodawanie na indeks 5000	10480	31660
10000	Usuwanie z indeksu 5000	11420	31780
10000	Usuwanie z pocz¹tku	21270	1580
10000	Usuwanie z koñca	1440	50160
10000	Wyszukiwanie elementu (istniej¹cego)	12520	31550
10000	Wyszukiwanie elementu (nieistniej¹cego)	18530	61160
