Rozmiar	Operacja	DynamicArray	LinkedList
10	Dodawanie na pocz¹tek	490	420
10	Dodawanie na koniec	270	430
10	Dodawanie na indeks 5	260	420
10	Usuwanie z indeksu 5	280	380
10	Usuwanie z pocz¹tku	280	370
10	Usuwanie z koñca	260	410
10	Wyszukiwanie elementu (istniej¹cego)	250	260
10	Wyszukiwanie elementu (nieistniej¹cego)	280	270
20	Dodawanie na pocz¹tek	390	570
20	Dodawanie na koniec	250	440
20	Dodawanie na indeks 10	270	410
20	Usuwanie z indeksu 10	290	450
20	Usuwanie z pocz¹tku	310	400
20	Usuwanie z koñca	290	430
20	Wyszukiwanie elementu (istniej¹cego)	300	250
20	Wyszukiwanie elementu (nieistniej¹cego)	290	300
50	Dodawanie na pocz¹tek	350	410
50	Dodawanie na koniec	300	530
50	Dodawanie na indeks 25	310	540
50	Usuwanie z indeksu 25	290	440
50	Usuwanie z pocz¹tku	390	410
50	Usuwanie z koñca	260	490
50	Wyszukiwanie elementu (istniej¹cego)	310	310
50	Wyszukiwanie elementu (nieistniej¹cego)	340	370
100	Dodawanie na pocz¹tek	490	410
100	Dodawanie na koniec	250	650
100	Dodawanie na indeks 50	370	530
100	Usuwanie z indeksu 50	360	560
100	Usuwanie z pocz¹tku	490	400
100	Usuwanie z koñca	240	610
100	Wyszukiwanie elementu (istniej¹cego)	350	430
100	Wyszukiwanie elementu (nieistniej¹cego)	430	530
200	Dodawanie na pocz¹tek	710	410
200	Dodawanie na koniec	280	930
200	Dodawanie na indeks 100	490	670
200	Usuwanie z indeksu 100	520	730
200	Usuwanie z pocz¹tku	760	500
200	Usuwanie z koñca	270	840
200	Wyszukiwanie elementu (istniej¹cego)	440	550
200	Wyszukiwanie elementu (nieistniej¹cego)	630	800
500	Dodawanie na pocz¹tek	1320	440
500	Dodawanie na koniec	320	2190
500	Dodawanie na indeks 250	800	1450
500	Usuwanie z indeksu 250	790	1390
500	Usuwanie z pocz¹tku	1300	480
500	Usuwanie z koñca	330	1890
500	Wyszukiwanie elementu (istniej¹cego)	700	1150
500	Wyszukiwanie elementu (nieistniej¹cego)	1120	2060
1000	Dodawanie na pocz¹tek	2470	530
1000	Dodawanie na koniec	340	4680
1000	Dodawanie na indeks 500	1290	3250
1000	Usuwanie z indeksu 500	1300	2800
1000	Usuwanie z pocz¹tku	2350	570
1000	Usuwanie z koñca	460	4200
1000	Wyszukiwanie elementu (istniej¹cego)	1330	2680
1000	Wyszukiwanie elementu (nieistniej¹cego)	2600	5430
2000	Dodawanie na pocz¹tek	5140	680
2000	Dodawanie na koniec	1340	10410
2000	Dodawanie na indeks 1000	3350	6480
2000	Usuwanie z indeksu 1000	3360	6470
2000	Usuwanie z pocz¹tku	6220	1800
2000	Usuwanie z koñca	1510	10240
2000	Wyszukiwanie elementu (istniej¹cego)	2820	5680
2000	Wyszukiwanie elementu (nieistniej¹cego)	4750	11140
3000	Dodawanie na pocz¹tek	7860	820
3000	Dodawanie na koniec	1320	16380
3000	Dodawanie na indeks 1500	3880	8940
3000	Usuwanie z indeksu 1500	4020	8650
3000	Usuwanie z pocz¹tku	7440	1370
3000	Usuwanie z koñca	1130	13130
3000	Wyszukiwanie elementu (istniej¹cego)	3250	8030
3000	Wyszukiwanie elementu (nieistniej¹cego)	5770	15840
4000	Dodawanie na pocz¹tek	9140	760
4000	Dodawanie na koniec	1030	22670
4000	Dodawanie na indeks 2000	4350	11760
4000	Usuwanie z indeksu 2000	4580	11150
4000	Usuwanie z pocz¹tku	8520	870
4000	Usuwanie z koñca	740	17150
4000	Wyszukiwanie elementu (istniej¹cego)	4070	12710
4000	Wyszukiwanie elementu (nieistniej¹cego)	6990	21360
5000	Dodawanie na pocz¹tek	11100	720
5000	Dodawanie na koniec	970	27590
5000	Dodawanie na indeks 2500	5640	15730
5000	Usuwanie z indeksu 2500	5940	15280
5000	Usuwanie z pocz¹tku	10810	1000
5000	Usuwanie z koñca	1110	23690
5000	Wyszukiwanie elementu (istniej¹cego)	4820	14570
5000	Wyszukiwanie elementu (nieistniej¹cego)	9600	29120
7500	Dodawanie na pocz¹tek	16440	730
7500	Dodawanie na koniec	1260	41640
7500	Dodawanie na indeks 3750	8100	25570
7500	Usuwanie z indeksu 3750	9260	24430
7500	Usuwanie z pocz¹tku	15960	1240
7500	Usuwanie z koñca	1400	37280
7500	Wyszukiwanie elementu (istniej¹cego)	7430	22780
7500	Wyszukiwanie elementu (nieistniej¹cego)	13560	45240
10000	Dodawanie na pocz¹tek	22150	810
10000	Dodawanie na koniec	1270	57400
10000	Dodawanie na indeks 5000	10460	32110
10000	Usuwanie z indeksu 5000	11890	34290
10000	Usuwanie z pocz¹tku	21710	1590
10000	Usuwanie z koñca	1600	49870
10000	Wyszukiwanie elementu (istniej¹cego)	9750	30890
10000	Wyszukiwanie elementu (nieistniej¹cego)	18090	59660
