Rozmiar	Operacja	DynamicArray	LinkedList
10	Dodawanie na pocz¹tek	480	420
10	Dodawanie na koniec	260	430
10	Dodawanie na indeks 5	300	420
10	Usuwanie z indeksu 5	280	390
10	Usuwanie z pocz¹tku	280	380
10	Usuwanie z koñca	250	410
10	Wyszukiwanie elementu (istniej¹cego)	250	280
10	Wyszukiwanie elementu (nieistniej¹cego)	280	280
20	Dodawanie na pocz¹tek	300	410
20	Dodawanie na koniec	220	500
20	Dodawanie na indeks 10	290	390
20	Usuwanie z indeksu 10	290	440
20	Usuwanie z pocz¹tku	300	390
20	Usuwanie z koñca	270	420
20	Wyszukiwanie elementu (istniej¹cego)	240	270
20	Wyszukiwanie elementu (nieistniej¹cego)	280	330
50	Dodawanie na pocz¹tek	360	410
50	Dodawanie na koniec	260	520
50	Dodawanie na indeks 25	300	540
50	Usuwanie z indeksu 25	330	420
50	Usuwanie z pocz¹tku	390	420
50	Usuwanie z koñca	250	500
50	Wyszukiwanie elementu (istniej¹cego)	280	320
50	Wyszukiwanie elementu (nieistniej¹cego)	360	390
100	Dodawanie na pocz¹tek	470	420
100	Dodawanie na koniec	250	670
100	Dodawanie na indeks 50	360	540
100	Usuwanie z indeksu 50	360	510
100	Usuwanie z pocz¹tku	530	430
100	Usuwanie z koñca	270	620
100	Wyszukiwanie elementu (istniej¹cego)	360	420
100	Wyszukiwanie elementu (nieistniej¹cego)	470	530
200	Dodawanie na pocz¹tek	680	430
200	Dodawanie na koniec	260	970
200	Dodawanie na indeks 100	510	660
200	Usuwanie z indeksu 100	520	700
200	Usuwanie z pocz¹tku	710	410
200	Usuwanie z koñca	350	1090
200	Wyszukiwanie elementu (istniej¹cego)	660	800
200	Wyszukiwanie elementu (nieistniej¹cego)	610	800
500	Dodawanie na pocz¹tek	1300	440
500	Dodawanie na koniec	320	2150
500	Dodawanie na indeks 250	750	1430
500	Usuwanie z indeksu 250	810	1370
500	Usuwanie z pocz¹tku	1310	470
500	Usuwanie z koñca	290	1920
500	Wyszukiwanie elementu (istniej¹cego)	710	1160
500	Wyszukiwanie elementu (nieistniej¹cego)	1090	2080
1000	Dodawanie na pocz¹tek	2450	490
1000	Dodawanie na koniec	370	4720
1000	Dodawanie na indeks 500	1230	3110
1000	Usuwanie z indeksu 500	1390	2880
1000	Usuwanie z pocz¹tku	2410	560
1000	Usuwanie z koñca	380	4120
1000	Wyszukiwanie elementu (istniej¹cego)	1250	2580
1000	Wyszukiwanie elementu (nieistniej¹cego)	2110	5000
2000	Dodawanie na pocz¹tek	5120	720
2000	Dodawanie na koniec	660	9670
2000	Dodawanie na indeks 1000	3080	6040
2000	Usuwanie z indeksu 1000	3020	5830
2000	Usuwanie z pocz¹tku	5240	1210
2000	Usuwanie z koñca	890	8710
2000	Wyszukiwanie elementu (istniej¹cego)	2840	5500
2000	Wyszukiwanie elementu (nieistniej¹cego)	4550	10840
3000	Dodawanie na pocz¹tek	7860	930
3000	Dodawanie na koniec	1630	17070
3000	Dodawanie na indeks 1500	4810	9950
3000	Usuwanie z indeksu 1500	4650	9270
3000	Usuwanie z pocz¹tku	7830	1380
3000	Usuwanie z koñca	1720	17470
3000	Wyszukiwanie elementu (istniej¹cego)	3800	8530
3000	Wyszukiwanie elementu (nieistniej¹cego)	6480	16430
4000	Dodawanie na pocz¹tek	10410	960
4000	Dodawanie na koniec	1460	23090
4000	Dodawanie na indeks 2000	5390	12630
4000	Usuwanie z indeksu 2000	5500	12470
4000	Usuwanie z pocz¹tku	9900	1880
4000	Usuwanie z koñca	1620	19580
4000	Wyszukiwanie elementu (istniej¹cego)	4760	12180
4000	Wyszukiwanie elementu (nieistniej¹cego)	7970	22580
5000	Dodawanie na pocz¹tek	11930	820
5000	Dodawanie na koniec	1600	28430
5000	Dodawanie na indeks 2500	6310	16230
5000	Usuwanie z indeksu 2500	6530	16210
5000	Usuwanie z pocz¹tku	11330	1330
5000	Usuwanie z koñca	1530	26200
5000	Wyszukiwanie elementu (istniej¹cego)	5460	15540
5000	Wyszukiwanie elementu (nieistniej¹cego)	9550	29550
7500	Dodawanie na pocz¹tek	17280	750
7500	Dodawanie na koniec	1500	44340
7500	Dodawanie na indeks 3750	8250	24070
7500	Usuwanie z indeksu 3750	9320	25300
7500	Usuwanie z pocz¹tku	16830	1710
7500	Usuwanie z koñca	1560	38110
7500	Wyszukiwanie elementu (istniej¹cego)	7700	22620
7500	Wyszukiwanie elementu (nieistniej¹cego)	14410	46120
10000	Dodawanie na pocz¹tek	22440	700
10000	Dodawanie na koniec	1520	62130
10000	Dodawanie na indeks 5000	10560	31420
10000	Usuwanie z indeksu 5000	11250	31440
10000	Usuwanie z pocz¹tku	21220	1510
10000	Usuwanie z koñca	1500	52130
10000	Wyszukiwanie elementu (istniej¹cego)	10610	32340
10000	Wyszukiwanie elementu (nieistniej¹cego)	18510	62590
